crack_start,crack_tip,load_location,load_condition,bottom_surface_deflections
"(2.92706276479425, 0)","(2.92706276479425, 0.30785553274571553)",[4.08374816 1.        ],[    0 -6551],"[ 0.         -0.01550375 -0.03093564 -0.04622385 -0.06129632 -0.07607979
 -0.0904971  -0.10446182 -0.11788155 -0.1307183  -0.14313366 -0.15579353
 -0.16318604 -0.16887079 -0.17354636 -0.17731796 -0.17989583 -0.18120497
 -0.18130798 -0.18030334 -0.17827486 -0.17528502 -0.17138487 -0.16662202
 -0.16104378 -0.1546978  -0.14763198 -0.13989428 -0.13153269 -0.12259523
 -0.11312986 -0.1031846  -0.09280742 -0.08204632 -0.07094929 -0.05956432
 -0.0479394  -0.03612252 -0.02416166 -0.01210483  0.        ]"
"(4.763187242948661, 0)","(4.763187242948661, 0.35849488816135583)",[8.17794004 1.        ],[    0 -8951],"[ 0.         -0.00936753 -0.01870638 -0.02798784 -0.03718325 -0.0462639
 -0.05520112 -0.06396621 -0.07253049 -0.0808653  -0.08894202 -0.09673206
 -0.10420666 -0.11133616 -0.11808787 -0.12442287 -0.13030083 -0.13572201
 -0.14081772 -0.14611005 -0.14713731 -0.14693072 -0.14601464 -0.14455097
 -0.14241056 -0.1395509  -0.13596044 -0.1316209  -0.12650776 -0.12059328
 -0.11384443 -0.10621394 -0.09763049 -0.08801517 -0.07735534 -0.06577019
 -0.05344517 -0.04055809 -0.02726264 -0.01369834  0.        ]"
"(1.6452673830960047, 0)","(1.6452673830960047, 0.3741653814723331)",[7.52446917 1.        ],[    0 -6078],"[ 0.         -0.0080219  -0.01601159 -0.02393677 -0.03177688 -0.03955179
 -0.04740175 -0.05394384 -0.06006591 -0.06590867 -0.07152707 -0.07686176
 -0.08188035 -0.08656054 -0.09087775 -0.09480524 -0.09831541 -0.10138039
 -0.10397233 -0.10606336 -0.10762564 -0.10863135 -0.10905268 -0.10886188
 -0.10803141 -0.10653398 -0.10434196 -0.1014246  -0.09774155 -0.09323607
 -0.08784625 -0.08155517 -0.07443541 -0.06660453 -0.05817493 -0.04924262
 -0.039894   -0.03021236 -0.02028064 -0.01018206  0.        ]"
"(5.795656383514022, 0)","(5.795656383514022, 0.36255853566656787)",[7.46138189 1.        ],[    0 -4296],"[ 0.         -0.0062176  -0.01241552 -0.01857411 -0.02467369 -0.0306946
 -0.03661715 -0.04242169 -0.04808855 -0.05359805 -0.05893052 -0.0640663
 -0.06898573 -0.07366914 -0.07809694 -0.08224953 -0.08610718 -0.08964941
 -0.09285322 -0.09569047 -0.09813193 -0.10018235 -0.10195512 -0.10388785
 -0.10228143 -0.09966072 -0.09646546 -0.09282675 -0.08863286 -0.08383227
 -0.07839526 -0.07231812 -0.06565493 -0.05848936 -0.05090078 -0.04295696
 -0.0347189  -0.02624547 -0.01759527 -0.00882714  0.        ]"
"(7.985994002759793, 0)","(7.985994002759793, 0.30910601875367494)",[5.96713668 1.        ],[    0 -9669],"[ 0.         -0.01706496 -0.03405909 -0.05091155 -0.06755152 -0.08390817
 -0.09991066 -0.11548815 -0.13056983 -0.14508485 -0.15896239 -0.17213161
 -0.18452169 -0.19606178 -0.20668105 -0.21630866 -0.22487381 -0.23230581
 -0.23853428 -0.24348924 -0.24710018 -0.24929167 -0.24997306 -0.24902769
 -0.24633033 -0.24182581 -0.2355967  -0.22778626 -0.21852713 -0.20800467
 -0.19662552 -0.18536849 -0.16773325 -0.14844539 -0.12854189 -0.10816549
 -0.08722368 -0.06580817 -0.04405342 -0.02208033  0.        ]"
"(8.247198703986227, 0)","(8.247198703986227, 0.4483311351936434)",[7.30761209 1.        ],[    0 -7586],"[ 0.         -0.01069436 -0.02135051 -0.03193026 -0.04239538 -0.05270768
 -0.06282895 -0.07272099 -0.08234558 -0.09166453 -0.10063962 -0.10923265
 -0.11740542 -0.12511972 -0.13233734 -0.13902007 -0.14512972 -0.15062807
 -0.15547692 -0.15963804 -0.16307325 -0.16574435 -0.1676133  -0.16864235
 -0.16879407 -0.16803029 -0.16630742 -0.16356526 -0.15971531 -0.15466716
 -0.14845249 -0.14140123 -0.13456391 -0.12039342 -0.10454404 -0.08800753
 -0.07105914 -0.05368764 -0.03597411 -0.01804019  0.        ]"
"(2.2033518450641463, 0)","(2.2033518450641463, 0.45615870750554577)",[2.09612037 1.        ],[    0 -4693],"[ 0.         -0.0109208  -0.02177212 -0.03248201 -0.04297321 -0.05316644
 -0.06301023 -0.072553   -0.08232902 -0.08662247 -0.08943568 -0.09139996
 -0.09287204 -0.09384561 -0.09433058 -0.09435748 -0.09395185 -0.09313361
 -0.09192034 -0.09032909 -0.08837694 -0.08608101 -0.08345848 -0.08052654
 -0.07730237 -0.07380317 -0.07004612 -0.06604842 -0.06182725 -0.05739981
 -0.05278328 -0.04799486 -0.04305172 -0.03797108 -0.0327701  -0.02746599
 -0.02207593 -0.01661711 -0.01110672 -0.00556196  0.        ]"
"(7.318238865781054, 0)","(7.318238865781054, 0.2467679865005032)",[2.57635167 1.        ],[    0 -8043],"[ 0.         -0.01350714 -0.02690383 -0.0400797  -0.05292465 -0.06532891
 -0.07718227 -0.0883704  -0.09876623 -0.10822105 -0.11657928 -0.12374486
 -0.12974021 -0.13464724 -0.13854104 -0.14147499 -0.14348979 -0.144622
 -0.14490774 -0.14438348 -0.14308595 -0.141052   -0.13831847 -0.13492168
 -0.13089671 -0.12627534 -0.12108264 -0.11536907 -0.10929561 -0.10316465
 -0.09518098 -0.0865721  -0.07776083 -0.0687216  -0.05940244 -0.04984589
 -0.04009912 -0.03020327 -0.02019677 -0.01011675  0.        ]"
"(5.217726896165009, 0)","(5.217726896165009, 0.1621489613121479)",[6.45565561 1.        ],[    0 -9567],"[ 0.         -0.0157091  -0.03135688 -0.04688201 -0.06222316 -0.07731902
 -0.09210827 -0.10652956 -0.12052159 -0.13402303 -0.14697259 -0.15930903
 -0.17097116 -0.18189771 -0.19202643 -0.20129154 -0.2096219  -0.2169218
 -0.22312765 -0.2285158  -0.23372467 -0.2345067  -0.23318008 -0.23092968
 -0.22742253 -0.22229609 -0.21547426 -0.20693828 -0.19679565 -0.18521795
 -0.17236529 -0.15837118 -0.14335395 -0.12742709 -0.11070363 -0.093297
 -0.07532095 -0.05688932 -0.03811603 -0.01911496  0.        ]"
"(2.61469939752556, 0)","(2.61469939752556, 0.11744633004753673)",[7.61527917 1.        ],[    0 -8305],"[ 0.         -0.00997241 -0.01990685 -0.0297653  -0.03950965 -0.04910072
 -0.05849881 -0.06765879 -0.07652929 -0.08516977 -0.09370052 -0.10118439
 -0.10801982 -0.11455381 -0.1206245  -0.1261395  -0.13107609 -0.13540086
 -0.1390783  -0.14207123 -0.14434177 -0.14585187 -0.14656348 -0.14643868
 -0.14543985 -0.14352967 -0.1406704  -0.13682002 -0.1319234  -0.12590301
 -0.11867427 -0.11021402 -0.10062147 -0.09005725 -0.07867494 -0.06660571
 -0.05396764 -0.04087452 -0.02743971 -0.01377688  0.        ]"
